file_name,signal_name,category,row_count,null_count,zero_pct,val_min,val_max,val_mean,val_std,p05,p25,p50,p75,p95,outlier_count,start_time,end_time,duration_days,expected_rows,gap_ratio,notes,median_interval_sec,interval_label,gap_meaningful,gap_class
greal_W_WMZ_P_WP.csv,greal_W_WMZ_P_WP,thermal_power,4515082,0,94.03,0.0,179.3,0.931896,5.50722,0.0,0.0,0.0,0.0,0.2627,0,2022-12-19 11:23:24+02:00,2026-05-27 10:03:18+03:00,1254.9,5421179,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_Altbau.csv,greal_W_WMZ_TR_Altbau,heating_return_temp,4768764,0,0.01,0.0,87.4,39.344825,11.898642,22.6238,29.8205,39.1444,45.142,62.1662,17155,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_bhkw1.csv,greal_W_WMZ_TR_bhkw1,heating_return_temp,4768550,0,10.19,0.0,1624.192,150.515162,351.081349,0.0,22.3666,25.0442,30.9623,1032.6045,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1204,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_bhkw2.csv,greal_W_WMZ_TR_bhkw2,heating_return_temp,4768478,0,6.38,0.0,87.1,26.659367,12.773804,0.0,22.3264,24.7837,27.7792,59.4273,140360,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1204,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_Halle.csv,greal_W_WMZ_TR_Halle,heating_return_temp,4768925,0,23.43,0.0,34.7,17.342731,10.369219,0.0,12.8409,22.2178,24.5544,29.211,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_Nord.csv,greal_W_WMZ_TR_Nord,heating_return_temp,4768888,0,22.21,0.0,60.5,20.426872,12.478134,0.0,15.3734,23.2591,30.1038,36.7939,3,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_Sued.csv,greal_W_WMZ_TR_Sued,heating_return_temp,4768762,0,0.0,0.0,64.2,27.180522,6.802381,16.2604,22.9021,25.9731,32.8008,38.117,4647,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TR_WP.csv,greal_W_WMZ_TR_WP,heating_return_temp,4768601,0,6.45,0.0,70.4,35.658026,14.769867,0.0,24.7686,36.3361,49.2062,54.6061,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1204,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_Altbau.csv,greal_W_WMZ_TV_Altbau,heating_supply_temp,4769040,0,0.01,0.0,87.4,39.344881,11.898757,22.6376,29.8625,39.151,45.1577,62.1636,17150,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_bhkw1.csv,greal_W_WMZ_TV_bhkw1,heating_supply_temp,4769013,0,10.19,0.0,1624.192,150.483716,351.03992,0.0,22.3586,25.0306,30.967,1022.6569,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_bhkw2.csv,greal_W_WMZ_TV_bhkw2,heating_supply_temp,4768928,0,6.38,0.0,87.1,26.659128,12.772557,0.0,22.3193,24.7753,27.7899,59.2694,140317,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_Halle.csv,greal_W_WMZ_TV_Halle,heating_supply_temp,4769233,0,23.43,0.0,34.7,17.342812,10.369199,0.0,12.9367,22.2063,24.5581,29.2106,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_Nord.csv,greal_W_WMZ_TV_Nord,heating_supply_temp,4769356,0,22.21,0.0,60.5,20.426343,12.477615,0.0,15.385,23.2521,30.1058,36.7867,3,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1202,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_Sued.csv,greal_W_WMZ_TV_Sued,heating_supply_temp,4769140,0,0.0,0.0,64.2,27.180034,6.802652,16.2894,22.9081,25.965,32.812,38.1273,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_TV_WP.csv,greal_W_WMZ_TV_WP,heating_supply_temp,4769105,0,6.45,0.0,70.4,35.658711,14.769461,0.0,24.74,36.3269,49.1981,54.6172,0,2022-12-19 11:45:07+02:00,2026-05-27 10:03:18+03:00,1254.89,5421114,0.1203,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Hz_Erz_BHKW.csv,greal_WMZ_Hz_Erz_BHKW,thermal_energy,4537543,0,70.5,0.0,43612.4062,4.747603,78.641196,0.0,0.0,0.0,0.05,31.0055,3311,2022-12-13 13:16:39+02:00,2026-05-27 10:03:18+03:00,1260.82,5446759,0.1669,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Hz_Erz_ges.csv,greal_WMZ_Hz_Erz_ges,thermal_energy,4537544,0,65.65,0.0,43612.4062,5.683064,78.782573,0.0,0.0,0.0,0.0557,34.9934,3284,2022-12-13 13:16:39+02:00,2026-05-27 10:03:18+03:00,1260.82,5446759,0.1669,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Hz_Erz_WP.csv,greal_WMZ_Hz_Erz_WP,thermal_energy,4537539,0,94.0,0.0,179.3,0.93551,5.513481,0.0,0.0,0.0,0.0,0.2937,100039,2022-12-13 13:16:39+02:00,2026-05-27 10:03:18+03:00,1260.82,5446759,0.1669,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Kalt.csv,greal_WMZ_Kalt,thermal_energy,4531288,0,83.21,0.0,58.0,1.997894,6.510166,0.0,0.0,0.0,0.0,19.878,205652,2022-12-15 16:53:15+02:00,2026-05-27 10:03:18+03:00,1258.67,5437470,0.1667,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Kalt_Erz_WP.csv,greal_WMZ_Kalt_Erz_WP,thermal_energy,4531286,0,93.73,0.0,67.0,2.09256,9.119446,0.0,0.0,0.0,0.0,16.1769,172962,2022-12-15 16:53:15+02:00,2026-05-27 10:03:18+03:00,1258.67,5437470,0.1667,ok,20.0,~20s,True,moderate_gap
greal_WMZ_Warm.csv,greal_WMZ_Warm,thermal_energy,4537538,0,5.47,0.0,83.48,4.455278,5.494595,0.0008,0.0722,2.0822,7.4884,15.4591,70036,2022-12-13 13:16:39+02:00,2026-05-27 10:03:18+03:00,1260.82,5446759,0.1669,ok,20.0,~20s,True,moderate_gap
greal_Wochenendwert.csv,greal_Wochenendwert,hvac_setpoint,40,0,12.5,0.0,19.0,16.625,6.363709,0.0,19.0,19.0,19.0,19.0,0,2022-12-15 16:29:56+02:00,2026-02-10 11:32:12+02:00,1152.79,4980066,0.9989,ok,2700.0,~1hr,False,event_driven
greal_WP1AbtauSek.csv,greal_WP1AbtauSek,hp_defrost,302312,0,0.0,0.0,511.0,510.988168,2.458883,511.0,511.0,511.0,511.0,511.0,7,2022-12-14 16:40:41+02:00,2026-05-27 10:03:05+03:00,1259.68,5441827,0.1667,ok,300.0,~5min,True,moderate_gap
greal_WP2AbtauSek.csv,greal_WP2AbtauSek,hp_defrost,302312,0,6.19,0.0,11535.0,1178.610641,1653.187977,0.0,297.9646,298.0,1628.7148,4867.0,4611,2022-12-14 16:40:41+02:00,2026-05-27 10:03:05+03:00,1259.68,5441827,0.1667,ok,300.0,~5min,True,moderate_gap
greal_WP3AbtauSek.csv,greal_WP3AbtauSek,hp_defrost,302312,0,5.04,0.0,10777.0,2246.794851,2840.21953,13.6919,299.2517,1075.6724,2733.6902,10043.1294,5047,2022-12-14 16:40:41+02:00,2026-05-27 10:03:05+03:00,1259.68,5441827,0.1667,ok,300.0,~5min,True,moderate_gap
grealCluster_1_Ladung.csv,grealCluster_1_Ladung,battery_charge,4568671,0,0.86,0.0,100.0,68.077331,21.458122,34.8793,51.3449,69.3882,85.2496,100.0,39420,2022-12-06 18:04:43+02:00,2026-05-27 10:03:18+03:00,1267.62,5476135,0.7914,ok,5.0,~5s,True,high_gap
grealCluster_1_Spannung.csv,grealCluster_1_Spannung,battery_voltage,4568624,0,0.86,0.0,62.9,52.056832,5.079134,49.1828,52.1752,52.8631,53.195,54.4305,39515,2022-12-06 18:21:15+02:00,2026-05-27 10:03:18+03:00,1267.61,5476086,0.1657,ok,20.0,~20s,True,moderate_gap
grealCluster_2_Ladung.csv,grealCluster_2_Ladung,battery_charge,4568582,0,1.15,0.0,100.0,68.019603,21.779266,34.7391,51.0747,69.5017,85.4782,100.0,52439,2022-12-06 18:21:15+02:00,2026-05-27 10:03:18+03:00,1267.61,5476086,0.1657,ok,20.0,~20s,True,moderate_gap
grealCluster_2_Spannung.csv,grealCluster_2_Spannung,battery_voltage,4568584,0,1.15,0.0,63.3,51.876688,5.788649,49.1995,52.1,52.7999,53.1,54.4472,52736,2022-12-06 18:21:15+02:00,2026-05-27 10:03:18+03:00,1267.61,5476086,0.1657,ok,20.0,~20s,True,moderate_gap
