signal_name,category,agg_type,rows_in,rows_out,notes
real_aktVerlustLeistungBHKW,chp_loss,mean,5093284,28331,ok
real_aktVerlustLeistungBHKW1,chp_loss,mean,4514777,25112,ok
real_aktVerlustLeistungBHKW2,chp_loss,mean,4514777,25112,ok
real_BatterieAbgabeLeistung,battery_power,mean,4544532,25280,ok
real_BatterieLadeLeistung,battery_power,mean,5104337,28393,ok
real_BatterieLeistung,battery_power,mean,4564722,25394,ok
real_BatterieVerlustEnergie,battery_energy,delta,38830,217,ok
real_BatterieVerlustLeistung,battery_power,mean,4500571,25057,ok
real_E_Verlustbhkw1,chp_loss,mean,4500987,25034,ok
real_E_Verlustbhkw2,chp_loss,mean,4500987,25034,ok
real_E_VerlustEnFa,system_loss,mean,5379118,28147,ok
real_P_BHKW,chp_power,mean,4564722,25394,ok
real_PV_Gesamt,pv_generation,mean,4564722,25394,ok
real_VerlustleistungEnFa,system_loss,mean,5424111,28390,ok
real_WirkleistungEnFa,building_power,mean,4564723,25394,ok
real_WirkleistungErzeugungEnFa,pv_generation,mean,4564724,25394,ok
realIPhARmsST24,current_rms,mean,4564727,25394,ok
realIPhARmsST25,current_rms,mean,4564726,25394,ok
realIPhBRmsST24,current_rms,mean,4564727,25394,ok
realIPhBRmsST25,current_rms,mean,4564731,25394,ok
realIPhCRmsST24,current_rms,mean,4564726,25394,ok
realIPhCRmsST25,current_rms,mean,4564734,25394,ok
realIstTempKaltWasOben,dhw_temp,mean,4531288,25205,ok
realIstTempKaltWasObenMitte,dhw_temp,mean,4531286,25205,ok
realIstTempKaltWasUnt,dhw_temp,mean,4531144,25204,ok
realIstTempKaltWasUntMitte,dhw_temp,mean,4531146,25204,ok
realIstTempPuffAltbau,buffer_temp,mean,302330,25226,ok
realIstTempRuecklPuffAltbau,buffer_temp,mean,302330,25226,ok
realIstTempWarmWasOben,dhw_temp,mean,4535755,25230,ok
realIstTempWarmWasObenMitte,dhw_temp,mean,4535757,25230,ok
realIstTempWarmWasUnt,dhw_temp,mean,4535754,25230,ok
realIstTempWarmWasUntMitte,dhw_temp,mean,4535756,25230,ok
realLeistungGebNord,building_power,mean,4062471,22596,ok
realLeistungGebSued,building_power,mean,4062912,22597,ok
realLeistungGebSystem,building_power,mean,1926592,9446,ok
realLeistungsfaktorST24,power_factor,mean,304191,25390,ok
realLeistungsfaktorST25,power_factor,mean,304595,25390,ok
realSollwertReglerWP1,hp_setpoint,last,302312,25224,ok
realTempRuecklBKT_EG,zone_return_temp,mean,1634,141,ok
sun_alt,solar,mean,3465481,19263,ok
sun_azi,solar,mean,3465481,19263,ok
TimerRuecklaufAltbau,timer_schedule,last,302330,25226,ok
V_real_AbtauTemperaturBetrieb,hp_defrost,sum,47,39,ok
