file_name,median_interval_sec,min_interval_sec,max_interval_sec,interval_label,interval_regular,head_rows_parsed
greal_W_WMZ_TR_Altbau.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_Halle.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_Nord.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_Sued.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_WP.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_bhkw1.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TR_bhkw2.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_Altbau.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_Halle.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_Nord.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_Sued.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_WP.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_bhkw1.csv,20.0,20.0,25.0,~20s,True,30
greal_W_WMZ_TV_bhkw2.csv,20.0,20.0,25.0,~20s,True,30
greal_Wochenendwert.csv,2700.0,300.0,85831.0,~1hr,False,30
greal_realTempVorlBKT_EG.csv,300.0,300.0,600.0,~5min,True,30
green_bat.csv,64.2,19.9,343.2,~1min,False,30
green_t1.csv,1800.0,1799.3,12410.2,~1hr,True,30
green_t2.csv,1800.0,1799.3,11922.1,~1hr,True,30
green_t3.csv,1800.0,0.2,9662.1,~1hr,False,30
pilot.csv,20.0,20.0,20.0,~20s,,3
realIPhARmsST24.csv,20.0,20.0,20.0,~20s,True,30
realIPhARmsST25.csv,20.0,20.0,20.0,~20s,True,30
realIPhBRmsST24.csv,20.0,20.0,20.0,~20s,True,30
realIPhBRmsST25.csv,20.0,20.0,20.0,~20s,True,30
realIPhCRmsST24.csv,20.0,20.0,20.0,~20s,True,30
realIPhCRmsST25.csv,20.0,20.0,20.0,~20s,True,30
realIstTempKaltWasOben.csv,20.0,19.0,21.0,~20s,True,30
realIstTempKaltWasObenMitte.csv,20.0,19.0,21.0,~20s,True,30
realIstTempKaltWasUnt.csv,20.0,20.0,20.0,~20s,True,30
realIstTempKaltWasUntMitte.csv,20.0,20.0,20.0,~20s,True,30
realIstTempPuffAltbau.csv,300.0,299.0,1555.0,~5min,False,30
realIstTempRuecklPuffAltbau.csv,300.0,299.0,1555.0,~5min,False,30
realIstTempWarmWasOben.csv,20.0,20.0,41.0,~20s,True,30
realIstTempWarmWasObenMitte.csv,20.0,20.0,41.0,~20s,True,30
realIstTempWarmWasUnt.csv,20.0,20.0,41.0,~20s,True,30
realIstTempWarmWasUntMitte.csv,20.0,20.0,41.0,~20s,True,30
realLeistungGebNord.csv,20.0,1.0,20.0,~20s,True,30
realLeistungGebSued.csv,20.0,1.0,20.0,~20s,True,30
realLeistungGebSystem.csv,20.0,20.0,36.0,~20s,True,30
realLeistungsfaktorST24.csv,300.0,23.0,1037.0,~5min,False,30
realLeistungsfaktorST25.csv,300.0,2.0,1037.0,~5min,False,30
realSollwertReglerWP1.csv,300.0,300.0,6472.0,~5min,True,30
realTempRuecklBKT_EG.csv,300.0,300.0,600.0,~5min,True,30
real_BatterieAbgabeLeistung.csv,20.0,1.0,20.0,~20s,False,30
real_BatterieLadeLeistung.csv,20.0,1.0,20.0,~20s,False,30
real_BatterieLeistung.csv,20.0,20.0,38.0,~20s,True,30
real_BatterieVerlustEnergie.csv,20.0,20.0,40.0,~20s,False,30
real_BatterieVerlustLeistung.csv,20.0,20.0,20.0,~20s,True,30
real_E_VerlustEnFa.csv,20.0,20.0,295.0,~20s,False,30
real_E_Verlustbhkw1.csv,20.0,20.0,295.0,~20s,True,30
real_E_Verlustbhkw2.csv,20.0,20.0,295.0,~20s,True,30
real_PV_Gesamt.csv,20.0,20.0,38.0,~20s,True,30
real_P_BHKW.csv,20.0,20.0,38.0,~20s,True,30
real_VerlustleistungEnFa.csv,20.0,20.0,287.0,~20s,True,30
real_WirkleistungEnFa.csv,20.0,20.0,38.0,~20s,True,30
real_WirkleistungErzeugungEnFa.csv,20.0,20.0,38.0,~20s,True,30
real_aktGesamtLeistungBHKW.csv,20.0,20.0,20.0,~20s,True,30
real_aktVerbrauchGasBhkwImp.csv,300.0,1.0,633.0,~5min,False,30
real_aktVerbrauchGasBhkwImp1.csv,20.0,19.0,20.0,~20s,True,30
real_aktVerbrauchGasBhkwImp2.csv,20.0,19.0,20.0,~20s,True,30
real_aktVerlustLeistungBHKW.csv,20.0,20.0,830.0,~20s,False,30
real_aktVerlustLeistungBHKW1.csv,20.0,20.0,20.0,~20s,True,30
real_aktVerlustLeistungBHKW2.csv,20.0,20.0,20.0,~20s,True,30
sun_alt.csv,20.0,20.0,20.0,~20s,True,30
sun_azi.csv,20.0,20.0,20.0,~20s,True,30
val1006.csv,5.0,5.0,92.0,~5s,True,30
val1007.csv,5.0,5.0,92.0,~5s,True,30
val1008.csv,5.0,5.0,5.0,~5s,True,30
val1009.csv,5.0,5.0,5.0,~5s,True,30
wind_now.csv,20.0,17.0,418.0,~20s,False,30
wind_tomorrow.csv,20.0,17.0,34.0,~20s,False,30
